translation
"{'th': 'พรุ่งนี้มีเรียนแต่ช่วงเช้าครับ', 'en': 'Class will finish in the morning tomorrow.'}"
"{'th': 'ไปโรงเรียนทุกวันครับ', 'en': 'I go to school every day.'}"
"{'th': 'คุณทานากะเรียนหนังสือที่หอสมุด แต่ผมเรียนหนังสือที่บ้านครับ', 'en': 'Mr Tanaka studies at the library, but I study at home.'}"
"{'th': 'เมื่อวานผมเรียนหนังสือครับ', 'en': 'I studied yesterday.'}"
"{'th': 'กลับบ้านครับ', 'en': 'I will go home.'}"
"{'th': 'ไม่ครับ ไม่ไปครับ', 'en': ""No, I won't go.""}"
"{'th': 'คุณทานากะกินโค้กครับ', 'en': 'Mr Tanaka drinks Coca-Cola.'}"
"{'th': 'ส่งจดหมายถึงคุณทานากะครับ', 'en': 'I will send a letter to Mr Tanaka.'}"
"{'th': 'จะให้คุณยามาดะยืมเงินครับ', 'en': 'I will lend money to Mr Yamada.'}"
"{'th': 'สอนภาษาอังกฤษคุณคิมูระครับ', 'en': 'I will teach Ms Kimura English.'}"
"{'th': 'ยืมเงินจากคุณยามาดะครับ', 'en': 'I will borrow money from Mr Yamada.'}"
"{'th': 'วางหนังสือที่โต๊ะครับ', 'en': 'I will put a book on the desk.'}"
"{'th': 'ผมตื่น ๗ โมงครึ่งครับ', 'en': 'I wake up at 7.30.'}"
"{'th': 'นอน ๕ ทุ่มครับ', 'en': 'I will go to sleep at 11.00.'}"
"{'th': 'เล่นเทนนิสวันอาทิตย์ครับ', 'en': 'I play tennis on Sundays.'}"
"{'th': 'จะเล่นเทนนิสเมื่อไรครับ', 'en': 'When do you play tennis?'}"
"{'th': 'ดูหนังครับ', 'en': 'I watched a film.'}"
"{'th': 'ผมไปเที่ยวช่วงวันหยุดหน้าร้อนครับ', 'en': 'I travelled during summer vacation.'}"
"{'th': 'จะจัดงานเลี้ยงในวันเกิดคุณยามาดะครับ', 'en': ""We will have a party for Mr Yamada's birthday.""}"
"{'th': 'หมาบ้านผมตัวใหญ่ครับ', 'en': ""My family's dog is big.""}"
"{'th': 'หมาข้างบ้านตัวไม่ใหญ่ครับ', 'en': 'The dog next door is not very big.'}"
"{'th': 'วันนี้อากาศไม่หนาวครับ', 'en': 'It is not cold today.'}"
"{'th': 'อาหารญี่ปุ่นเผ็ดไหมครับ', 'en': 'Is Japanese food spicy?'}"
"{'th': 'ไม่ครับ ไม่เผ็ดครับ', 'en': 'No, it is not spicy.'}"
"{'th': 'ข้างนอกหนาวไหมครับ', 'en': 'Is it cold outside?'}"
"{'th': 'อาหารญี่ปุ่นเป็นยังไงครับ', 'en': 'How is Japanese food?'}"
"{'th': 'กระเป๋าใบนี้แพงครับ', 'en': 'This bag was expensive.'}"
"{'th': 'อาหารงานเลี้ยงไม่อร่อยครับ', 'en': 'The food at the party was not very good.'}"
"{'th': 'หนังเมื่อวานเป็นยังไงครับ', 'en': ""How was yesterday's film?""}"
"{'th': 'ห้องผมไม่กว้างครับ', 'en': 'My room is not that large.'}"
"{'th': 'เหนื่อยมากครับ', 'en': 'I feel very tired.'}"
"{'th': 'ไม่ค่อยเหนื่อยครับ', 'en': ""I didn't get very tired.""}"
"{'th': 'แถวนี้ไม่ค่อยมีตึกสูงครับ', 'en': ""There aren't a lot of tall buildings around here.""}"
"{'th': 'ที่หน้าสถานีมีร้านดี ๆ ครับ', 'en': 'There is a good store in front of the station.'}"
"{'th': 'ห้องนี้เป็นห้องที่เงียบมากครับ', 'en': 'This room is very quiet.'}"
"{'th': 'ชุดสวยจังครับ', 'en': 'Your clothes are beautiful.'}"
"{'th': 'คุณทานากะสูงครับ', 'en': 'Mr Tanaka is tall.'}"
"{'th': 'ผมเจ็บคอตั้งแต่เมื่อวานครับ', 'en': 'My throat hurts from yesterday.'}"
"{'th': 'ปวดหัวหรือเปล่าครับ', 'en': 'Does your head hurt?'}"
"{'th': 'ไม่ครับ ไม่ปวดครับ', 'en': ""No, it doesn't hurt.""}"
"{'th': 'เมืองนี้ถนนแคบครับ', 'en': 'Roads in this town are narrow.'}"
"{'th': 'ภาพนี้สีสวยครับ', 'en': 'The colours in this picture are very beautiful.'}"
"{'th': 'ผมร้องเพลงไม่เก่งครับ', 'en': 'I am not good at singing (a song).'}"
"{'th': 'คุณพ่อคุณยามาดะขยันทำงานครับ', 'en': ""Mr Yamada's father works hard.""}"
"{'th': 'คุณพ่อคุณยามาดะเป็นหมอครับ', 'en': ""Mr Yamada's father is a doctor.""}"
"{'th': 'อย่าลืมการบ้านนะครับ', 'en': 'Please do not forget the homework.'}"
"{'th': 'เรียนหนังสือได้ที่นี่ครับ', 'en': 'We can study here.'}"
"{'th': 'คิดว่าคนนั้นเป็นอาจารย์ภาษาญี่ปุ่นครับ', 'en': 'I think that person is a Japanese teacher.'}"
"{'th': 'นี่เทปที่ซื้อเมื่อวานครับ', 'en': 'This is the tape I bought yesterday.'}"
"{'th': 'เวลาไม่รู้ทาง โทรศัพท์มาถามนะครับ', 'en': 'When you do not know the way, please call and ask.'}"
"{'th': 'คุณโคบายาชิใส่เสื้อสีฟ้าครับ', 'en': 'Mr Kobayashi is wearing a blue shirt.'}"
"{'th': 'มีเขียนไว้ในจดหมายครับ', 'en': 'It was written in the letter.'}"
"{'th': 'กินข้าวแล้วค่อยแปรงฟันครับ', 'en': 'After eating, we brush our teeth.'}"
"{'th': 'ช่วยยืนด้วยครับ', 'en': 'Please stand up.'}"
"{'th': 'ตอนนี้คุณโคบายาชิกำลังอ่านหนังสืออยู่ที่หอสมุดครับ', 'en': 'Mr Kobayashi is reading a book right now.'}"
"{'th': 'คุณทานากะตอนนี้ทำอะไรอยู่ครับ', 'en': 'What is Mr Tanaka doing?'}"
"{'th': 'เรียนภาษาญี่ปุ่นตั้งแต่เมื่อไรครับ', 'en': 'When did you start studying Japanese?'}"
"{'th': 'เรียนตั้งแต่ปีที่แล้วครับ', 'en': 'I have been studying since last year.'}"
"{'th': 'หน้าต่างเปิดอยู่ครับ', 'en': 'The window is open.'}"
"{'th': 'ถนนเส้นนี้คดเคี้ยวครับ', 'en': 'This road has twists and turns.'}"
"{'th': 'หน้าต่างเปิดไว้ครับ', 'en': 'The window is closed.'}"
"{'th': 'ดับไฟไว้ครับ', 'en': 'The lights were already off.'}"
"{'th': 'มีคำถามเขียนไว้ที่หน้า ๑๕ ครับ', 'en': 'The question is written on page 15.'}"
"{'th': 'หน้าต่างเปิดไว้ครับ', 'en': 'The window is open.'}"
"{'th': 'บนโต๊ะมีหนังสือและสมุดโน้ตครับ', 'en': 'There are a book and a notebook on the desk.'}"
"{'th': 'จันทร์พุธศุกร์มีซ้อมฟุตบอลครับ', 'en': 'I have football practice on Mondays, Wednesdays and Fridays.'}"
"{'th': 'ซื้อของที่ห้าง ซุปเปอร์ ฯลฯ ครับ', 'en': 'I shop at department stores and supermarkets.'}"
"{'th': 'ที่หน้าไปรษณีย์ ข้างสถานีรถไฟ ฯลฯ มีตู้ไปรษณีย์อยู่ครับ', 'en': 'There is a postbox in front of the post office and near the station.'}"
"{'th': 'กินพวกขนมปังหรือไข่ครับ', 'en': 'I eat bread, egg and so on.'}"
"{'th': 'ที่ห้องผมมีโต๊ะ เตียง โทรทัศน์ ฯลฯ ครับ', 'en': 'There are a desk, bed and TV in my room.'}"
"{'th': 'กระเป๋าสีดำใบใหญ่เป็นของผมครับ', 'en': 'The big black bag is mine.'}"
"{'th': 'อาศัยอยู่ที่อะพาร์ตเมนต์ที่สวยและเงียบสงบครับ', 'en': 'I live in a beautiful and quiet flat.'}"
"{'th': 'ดอกไม้นี้ดอกเล็กและสีแดงครับ', 'en': 'This flower is small and red.'}"
"{'th': 'ถุงเท้าคู่นี้ทนและถูกครับ', 'en': ""These socks are cheap but won't wear out quickly.""}"
"{'th': 'หนังสือเล่มนี้มีอักษรคันจิเยอะก็เลยยากครับ', 'en': 'This book is difficult with a lot of kanji.'}"
"{'th': 'มีไข้สูงก็เลยไปโรงเรียนไม่ไหวครับ', 'en': ""My fever was too high, so I couldn't go to school.""}"
"{'th': 'ช่วงวันหยุดหน้าร้อนผมเล่นเทนนิสบ้างว่ายน้ำบ้างครับ', 'en': 'I played tennis and swam during summer vacation.'}"
"{'th': 'วันอาทิตย์น้องชายจะอ่านหนังสือบ้างดูทีวีบ้างครับ', 'en': 'On Sundays my little brother reads books and watches television.'}"
"{'th': 'ไปดูหนังหรือบางทีก็ไปว่ายน้ำที่สระกับเพื่อนบ่อย ๆ ครับ', 'en': 'I often go to the cinema and pool with my friend.'}"
"{'th': 'ขึ้นเครื่องบินไป ๆ มา ๆ ระหว่างโตเกียวกับโอซาก้าครับ', 'en': 'I go back and forth between Tokyo and Osaka by airplane.'}"
"{'th': 'พรุ่งนี้ผมจะเจอเพื่อนที่สถานีรถไฟแล้วไปดูคอนเสิร์ตกันครับ', 'en': 'Tomorrow, I will go to the station to meet my friend, and we will go to a concert together.'}"
"{'th': 'ตอนเช้าตื่น ๗ โมงเช้า กินอาหารเช้าที่โรงอาหารและจะซ้อมตั้งแต่ 8โมงเช้าครับ', 'en': 'I wake up at 7.00, eat breakfast at the cafeteria, and practise starting at 8.00.'}"
"{'th': 'นั่งกินข้าวกล่องกันตรงโน้นเถอะครับ', 'en': ""Let's sit over there and eat a boxed lunch.""}"
"{'th': 'ผมเดินไปโรงเรียนทุกวันครับ', 'en': 'I walk to school every day.'}"
"{'th': 'เรียนภาษาญี่ปุ่นโดยการฟังเทปครับ', 'en': 'I study Japanese by listening to tapes.'}"
"{'th': 'ไต้ฝุ่นลูกใหญ่เข้ารถไฟก็เลยหยุดวิ่งครับ', 'en': 'A big typhoon came, and the train stopped.'}"
"{'th': 'เดินจากโรงเรียนถึงบ้านครับ', 'en': 'I will walk from school to my house.'}"
"{'th': 'กินอาหารที่โรงอาหารครับ', 'en': 'I eat at the cafeteria.'}"
"{'th': 'ท้องฟ้าสีฟ้าครับ', 'en': 'The sky is blue.'}"
"{'th': 'ผมอ่านหนังสือครับ', 'en': 'I read a book.'}"
"{'th': 'ออกจากบ้าน ๙ โมงเช้าครับ', 'en': 'I will leave the house at nine.'}"
"{'th': 'จะหยุดเรียนครับ', 'en': 'I will be absent from school.'}"
"{'th': 'กินขนมปังเท่านั้นครับ', 'en': 'I only ate bread.'}"
"{'th': 'ติดรูปที่กำแพงครับ', 'en': 'I will put up a picture on the wall.'}"
"{'th': 'ขึ้นเครื่องบินครับ', 'en': 'I will get on the airplane.'}"
"{'th': 'ให้คุณทานากะดูหนังสือครับ', 'en': 'I will show this book to Mr Tanaka.'}"
"{'th': 'โทรทัศน์ไม่ดีต่อสายตาครับ', 'en': 'Watching TV is not good for your eyes.'}"
"{'th': 'จะพักที่โรงแรมครับ', 'en': 'I will stay at a hotel.'}"
"{'th': 'ในสวนดอกไม้จะบานครับ', 'en': 'Flowers will blossom in the garden.'}"
"{'th': 'ออกจากบ้าน ๗ โมงเช้าครับ', 'en': 'I leave home at seven.'}"
"{'th': 'มาญี่ปุ่นวันที่๑๕ มีนาคมปีนี้ครับ', 'en': 'I came to Japan on 15 March this year.'}"
"{'th': 'ไปซื้อเสื้อเชิ้ตครับ', 'en': 'I will go buy a shirt.'}"
"{'th': 'เครื่องบินบินไปทางใต้ครับ', 'en': 'The airplane is flying south.'}"
"{'th': 'ตั้งแต่วันที่ ๑ สิงหาคมถึงวันที่ ๓๐ กันยายนเป็นวันหยุดหน้าร้อนครับ', 'en': 'Our summer vacation is from 1 August to 31 September.'}"
"{'th': 'คนที่ ๑ ถึงคนที่ ๑๐ เชิญเข้าครับ', 'en': 'People with the numbers one to ten, please go inside.'}"
"{'th': 'ออกจากห้องเรียนครับ', 'en': 'I will get out of the classroom.'}"
"{'th': 'อาจารย์ตั้งคำถามครับ', 'en': 'The teacher asked a question.'}"
"{'th': 'มีคอนเสิร์ตที่สวนสาธารณะครับ', 'en': 'There will be a concert at the park.'}"
"{'th': 'เขียนตัวอักษรด้วยปากกาครับ', 'en': 'I write with a pen.'}"
"{'th': 'นั่งรถเมล์ไปโรงเรียนครับ', 'en': 'I go to school by bus.'}"
"{'th': 'หยุดเรียนเพราะป่วยครับ', 'en': 'I was absent from school because I was ill.'}"
"{'th': 'รถไฟมาสายเพราะไต้ฝุ่นครับ', 'en': 'The train was delayed by the typhoon.'}"
"{'th': 'ปกติเรียนหนังสือคนเดียวครับ', 'en': 'I always study by myself.'}"
"{'th': 'อีก ๑๐นาทีจะ ๕ โมงเย็นครับ', 'en': 'Ten more minutes until five.'}"
"{'th': 'ออกไปเที่ยวด้วยกันทั้งชั้นครับ', 'en': 'My class went on a trip together.'}"
"{'th': 'งานนั้นจะทำเองครับ', 'en': 'I will do that work by myself.'}"
"{'th': 'กระเป๋าใบโน้นเหมือนกับกระเป๋าของผมครับ', 'en': 'That bag is the same as mine.'}"
"{'th': 'สมุดโน้ตเล่มนี้แตกต่างกับสมุดโน้ตของผมครับ', 'en': 'This notebook is different from my notebook.'}"
"{'th': 'พอตื่นนอนตอนเช้าจะพูดว่า ""อรุณสวัสดิ์"" ครับ', 'en': 'When we wake up, we say ""good morning"".'}"
"{'th': 'อักษรคันจิตัวนี้อ่านว่า ""ยามะ"" ครับ', 'en': 'This kanji reads ""yama"".'}"
"{'th': 'ขอโค้ก ๒ กระป๋องครับ', 'en': 'Two bottles of Coca-Cola, please.'}"
"{'th': 'ช่วยเขียนชื่อด้วยครับ', 'en': 'Please write your name.'}"
"{'th': 'ครับ ได้ครับ', 'en': 'Yes, all right.'}"
"{'th': 'รอสักครู่ครับ', 'en': 'Please wait a second.'}"
"{'th': 'ครับ ได้เลยครับ', 'en': 'Yes, okay.'}"
"{'th': 'กินข้าวกล่องในห้องนี้ได้ไหมครับ', 'en': 'You may eat your boxed lunch in this room.'}"
"{'th': 'ออกไปข้างนอกได้ไหมครับ', 'en': 'May I go outside?'}"
"{'th': 'ห้ามใช้มือถือที่โรงพยาบาลครับ', 'en': 'You are not allowed to use your mobile inside the hospital.'}"
"{'th': 'วันนี้อย่าอาบน้ำนะครับ', 'en': ""Please don't take a bath today.""}"
"{'th': 'กำลังใช้คอมพิวเตอร์อยู่ อย่าปิดสวิตช์นะครับ', 'en': 'We are using the computer. Please do not switch it off.'}"
"{'th': 'บ่ายวันเสาร์ เล่นเทนนิสกันไหมครับ', 'en': ""Why don't we play tennis Saturday afternoon?""}"
"{'th': 'ไปว่ายน้ำกันไหมครับ', 'en': ""Why don't we go the pool?""}"
"{'th': 'สัมภาระนั้นผมถือให้ครับ', 'en': 'I will hold that baggage.'}"
"{'th': 'งานนั้นผมทำก็แล้วกันครับ', 'en': 'I will do that work.'}"
"{'th': 'ตั้งใจว่าจะไปเรียนหนังสือที่หอสมุดแต่ปิดครับ', 'en': 'I was going to study at the library but it was closed.'}"
"{'th': 'กลับถึงบ้านแล้วว่าจะทำความสะอาดครับ', 'en': 'When I get home, I am going to clean my room.'}"
"{'th': 'น้องสาวตั้งใจจะเป็นอาจารย์ภาษาญี่ปุ่นครับ', 'en': 'My little sister wants to become a Japanese teacher.'}"
"{'th': 'คืนนี้ไม่อยากไปไหนทั้งนั้นครับ', 'en': 'I do not want to go anywhere tonight.'}"
"{'th': 'อยากฟังดนตรีญี่ปุ่นครับ', 'en': 'I would like to listen to Japanese music.'}"
"{'th': 'อยากกินน้ำครับ', 'en': 'I want to drink water.'}"
"{'th': 'ครับ ได้เลยครับ', 'en': 'Yes, okay.'}"
"{'th': 'จริง ๆ อยากเข้ามหาวิทยาลัยโตเกียวครับ', 'en': 'I wanted to go to a university in Tokyo.'}"
"{'th': 'ตอนนี้ผมอยากได้คอมพิวเตอร์ครับ', 'en': 'I want a computer now.'}"
"{'th': 'อยากได้อันไหนครับ', 'en': 'Which one do you want?'}"
"{'th': 'อยากได้อันนี้กับอันนั้นครับ', 'en': 'I want this and that.'}"
"{'th': 'ผมชอบดนตรีครับ', 'en': 'I like music.'}"
"{'th': 'ผมไม่ชอบกีฬาครับ', 'en': ""I don't like sports.""}"
"{'th': 'อาหารที่ชอบคืออะไรครับ', 'en': 'What is your favourite food?'}"
"{'th': 'ผมสนุกกับการเรียนครับ', 'en': 'Class is fun for me.'}"
"{'th': 'ไม่ครับ ไม่ได้ครับ', 'en': ""No, I can't.""}"
"{'th': 'คุณทานากะเล่นเทนนิสเป็นครับ', 'en': 'Mr Tanaka can play tennis.'}"
"{'th': 'โทรศัพท์เครื่องโน้นโทรศัพท์ไปต่างประเทศได้ไหมครับ', 'en': 'Can you call abroad with that phone?'}"
"{'th': 'ผมเขียนอักษรคันจิได้ครับ', 'en': 'I can write kanji.'}"
"{'th': 'ตรงโน้นมีคนอยู่ใช่ไหม เขาคือใครครับ', 'en': 'There is a person over there. Who is he?'}"
"{'th': 'นาฬิกาเรือนนี้ต้องแพงแน่ ๆ ครับ', 'en': 'This watch must be expensive.'}"
"{'th': 'ตอนนี้ ๑๐ โมงแล้วไปรษณีย์น่าจะเปิดแล้วครับ', 'en': 'It is 10.00 now, so the post office must be open.'}"
"{'th': 'บ้านหลังนี้น่าจะมีคนอาศัยอยู่ครับ', 'en': 'It feels like someone is living in this house.'}"
"{'th': 'ฝนทำท่าจะตกครับ', 'en': 'It looks like it is going to rain.'}"
"{'th': 'ในสวนไม่มีรถดูเหมือนแม่ออกไปข้างนอกครับ', 'en': 'The car is not in the yard. It looks like my mother is out.'}"
"{'th': 'ได้ยินว่าเดือนหน้าจะมีนักเรียนใหม่มาครับ', 'en': 'A new student will be coming next month.'}"
"{'th': 'ได้ยินจากอาจารย์ว่าเดือนหน้าจะมีนักเรียนใหม่มาครับ', 'en': 'I heard from the teacher that there will be a new student coming next month.'}"
"{'th': 'คนที่เขียนเรียงความฉบับนี้คือใครครับ ไม่มีชื่อครับ', 'en': 'Who wrote this essay? There is no name.'}"
"{'th': 'อาหารที่แม่ทำอร่อยมากครับ', 'en': 'The food my mother cooks is very good.'}"
"{'th': 'กรุณาส่งกระดาษที่เขียนคำตอบแล้วด้วยครับ', 'en': 'Please hand in the paper with the answers written on it.'}"
"{'th': 'เห็นคุณทานากะเรียนหนังสืออยู่ที่หอสมุดครับ', 'en': 'I saw Mr Kobayashi studying at the library.'}"
"{'th': 'เห็นคุณทานากะวิ่งอยู่ครับ', 'en': 'I saw Mr Tanaka running.'}"
"{'th': 'คนที่กินขนมเค้กคือคุณยามาดะครับ', 'en': 'Mr Yamada was the one who ate the cake.'}"
"{'th': 'กินยาแล้วไม่เป็นไรแล้วครับ', 'en': ""I already took my medicine, so I'm alright.""}"
"{'th': 'พรุ่งนี้ไม่ไปโรงเรียนครับ เพราะไม่มีเรียน', 'en': ""I am not going to school tomorrow because I don't have class.""}"
"{'th': 'ทำไมถึงรู้เบอร์โทรศัพท์ของผมครับ', 'en': 'How did you know my number?'}"
"{'th': 'ทำไมครับ', 'en': 'Why?'}"
"{'th': 'ทำไมถึงหยุดเรียนครับ', 'en': 'Why were you absent from school?'}"
"{'th': 'มีไข้ก็เลยตื่นไม่ไหวครับ', 'en': 'I could not wake up because I had a fever.'}"
"{'th': 'วันนี้ไม่มีเรียนเพราะอาจารย์ป่วยครับ', 'en': ""Today, we didn't have class because our teacher was ill.""}"
"{'th': 'คุณยามาดะปกติจะร่าเริงแต่วันนี้ซึม ๆ ครับ', 'en': 'Mr Tanaka is always full of energy, but today he is quiet.'}"
"{'th': 'ทั้งที่วันนี้เป็นวันอาทิตย์แต่ก็มีงานครับ', 'en': 'Although today is a Sunday, I have work.'}"
"{'th': 'ผมอาศัยอยู่ที่โตเกียวแต่น้องชายอาศัยอยู่ที่เกียวโตครับ', 'en': 'I live in Tokyo, whereas my little brother lives in Kyoto.'}"
"{'th': 'ถ้าจะไปมหาวิทยาลัยนั้นไปจักรยานสะดวกครับ', 'en': 'It is easier to use a bicycle if you are going to that university.'}"
"{'th': 'ทุกเช้าพอพ่อตื่นก็จะอ่านหนังสือพิมพ์ครับ', 'en': 'Every morning my father reads the newspaper after waking up.'}"
"{'th': 'พอกดปุ่มนี้ประตูก็จะเปิดครับ', 'en': 'If you press this button, the door will open.'}"
"{'th': 'ถ้าถูกก็ซื้อครับ', 'en': 'If they are cheap, I will buy them.'}"
"{'th': 'ถ้าใกล้ก็เดินเถอะครับ', 'en': ""Let's walk if it is close.""}"
"{'th': 'ถ้าไม่ชอบจะเลิกก็ได้นะครับ', 'en': ""If you don't like it, you can stop.""}"
"{'th': 'พอซื้อรถเงินก็จะร่อยหรอครับ', 'en': 'If you buy a car, your money will be used up.'}"
"{'th': 'ถ้าซื้อรถจะไปไหนก็ได้ครับ', 'en': 'If you buy a car, you can go anywhere.'}"
"{'th': 'ทำยังไงถึงจะจำอักษรคันจิได้ครับ', 'en': 'How can you memorize kanji?'}"
"{'th': 'อ่านหนังสือพิมพ์ทุกวันก็จะจำได้นะครับ', 'en': 'If you read the newspaper every day, you can remember it.'}"
"{'th': 'ถึงหิมะตกก็จะไปโรงเรียนครับ', 'en': 'Even if it snows, I will still go to school.'}"
"{'th': 'ถึงอากาศหนาวก็จะว่ายน้ำครับ', 'en': 'I will swim even if it is cold.'}"
"{'th': 'คุณยามาดะให้หนังสือน้องสาวครับ', 'en': 'Mr Yamada gave a book to my little sister.'}"
"{'th': 'ผมให้ดอกไม้พ่อครับ', 'en': 'I gave flowers to my father.'}"
"{'th': 'ผมได้รับดอกไม้จากพ่อครับ', 'en': 'I received a book from my father.'}"
"{'th': 'ผมให้คุณโคบายาชิยืมสมุดโน้ตครับ', 'en': 'I lent Mr Kobayashi my notebook.'}"
"{'th': 'คุณคิมูระให้ยืมหนังสือครับ', 'en': 'Mr Kimura lent the book to me.'}"
"{'th': 'ผมให้น้องชายยืมเงินครับ', 'en': 'I lent my money to my little brother.'}"
"{'th': 'น้องสาวทำข้าวกล่องให้พ่อครับ', 'en': 'My little sister made a boxed lunch for my father.'}"
"{'th': 'ผมสอนการบ้านให้น้องสาวครับ', 'en': 'I helped my little sister with her homework.'}"
"{'th': 'คุณคิมูระขนของให้ผมครับ', 'en': 'Mr Kimura carried my baggage for me.'}"
"{'th': 'แม่สอนทำอาหารให้ครับ', 'en': 'My mother taught me how to cook.'}"
"{'th': 'เดินไปถึงสถานีรถไฟครับ', 'en': 'I will walk to the station.'}"
"{'th': 'อาทิตย์หน้าตอนไปที่นั่น จะซื้อเครื่องดื่มไปครับ', 'en': 'I will buy a drink and bring it with me when I go there next week.'}"
"{'th': 'วันนี้กินข้าวเย็นกับเพื่อนมาแล้วครับ', 'en': 'I had dinner with my friend today.'}"
"{'th': 'โทษนะครับ ขอลองชุดนี้ได้ไหมครับ', 'en': 'Excuse me, may I try this shirt on?'}"
